unix_time_s,elapsed_s,t1,rh1,ah1,t2,rh2,ah2,diff
1772139720.609911,672.0527505874634,23.14,70.02,14.48,22.95,70.33,14.39,0.08999999999999986
1772139721.151827,672.5946667194366,23.13,70.01,14.47,22.98,70.35,14.41,0.0600000000000005
1772139721.696177,673.1390166282654,23.09,70.01,14.44,22.97,70.37,14.41,0.02999999999999936
1772139722.2405217,673.6833612918854,23.14,70.04,14.48,22.95,70.38,14.4,0.08000000000000007
1772139722.7821548,674.2249944210052,23.16,70.06,14.51,22.97,70.38,14.42,0.08999999999999986
1772139723.325748,674.7685875892639,23.1,70.07,14.46,22.97,70.4,14.42,0.040000000000000924
1772139723.8710053,675.3138449192047,23.11,70.08,14.47,22.98,70.41,14.43,0.040000000000000924
1772139724.4151902,675.8580298423767,23.15,70.11,14.51,22.98,70.39,14.42,0.08999999999999986
1772139724.9568148,676.3996543884277,23.13,70.14,14.49,22.97,70.43,14.43,0.0600000000000005
1772139725.5012114,676.944051027298,23.15,70.2,14.52,22.97,70.47,14.44,0.08000000000000007
1772139726.044964,677.4878036975861,23.14,70.22,14.52,22.98,70.49,14.44,0.08000000000000007
1772139726.586539,678.0293786525726,23.16,70.25,14.55,22.96,70.52,14.44,0.11000000000000121
1772139727.1315892,678.5744287967682,23.14,70.26,14.53,22.97,70.51,14.44,0.08999999999999986
1772139727.6753268,679.1181664466858,23.13,70.3,14.53,22.97,70.54,14.44,0.08999999999999986
1772139728.2192535,679.6620931625366,23.17,70.34,14.57,22.97,70.57,14.46,0.10999999999999943
1772139728.7615352,680.2043747901917,23.13,70.34,14.53,22.97,70.58,14.45,0.08000000000000007
1772139729.3059492,680.7487888336182,23.12,70.36,14.54,23.0,70.59,14.48,0.05999999999999872
1772139729.8504512,681.2932908535004,23.13,70.34,14.54,22.97,70.59,14.46,0.0799999999999983
1772139730.3950827,681.837922334671,23.12,70.39,14.54,22.95,70.59,14.44,0.09999999999999964
1772139730.936811,682.379650592804,23.14,70.37,14.55,22.95,70.59,14.44,0.11000000000000121
1772139731.4798548,682.9226944446564,23.1,70.4,14.53,22.99,70.61,14.48,0.049999999999998934
1772139732.025457,683.4682965278625,23.14,70.46,14.57,22.98,70.66,14.48,0.08999999999999986
1772139732.5700321,684.0128717422485,23.15,70.51,14.59,22.96,70.66,14.46,0.129999999999999
1772139733.111442,684.5542817115784,23.19,70.58,14.64,22.96,70.72,14.47,0.16999999999999993
1772139733.6551197,685.097959280014,23.14,70.63,14.6,22.97,70.77,14.5,0.09999999999999964
1772139734.2002165,685.6430561542511,23.13,70.69,14.61,22.97,70.83,14.5,0.10999999999999943
1772139734.7418518,686.1846914291382,23.14,70.76,14.64,22.99,70.88,14.53,0.11000000000000121
1772139735.285684,686.7285237312317,23.12,70.82,14.63,22.95,70.91,14.51,0.120000000000001
1772139735.8304799,687.2733194828033,23.15,70.87,14.67,22.98,70.95,14.54,0.13000000000000078
1772139736.3742225,687.8170621395111,23.12,70.88,14.64,22.98,70.95,14.54,0.10000000000000142
1772139736.916203,688.3590426445007,23.12,70.9,14.64,22.95,70.97,14.52,0.120000000000001
1772139737.4601698,688.9030094146729,23.14,70.92,14.67,22.96,71.0,14.53,0.14000000000000057
1772139738.0048826,689.447722196579,23.12,70.94,14.66,22.96,70.98,14.53,0.13000000000000078
1772139738.5487988,689.9916384220123,23.12,70.96,14.66,22.95,70.98,14.52,0.14000000000000057
1772139739.090517,690.5333566665649,23.14,70.98,14.68,22.97,71.02,14.54,0.14000000000000057
1772139739.6353216,691.078161239624,23.1,70.96,14.64,22.97,71.07,14.55,0.08999999999999986
1772139740.1799948,691.622834444046,23.13,70.99,14.67,22.96,71.03,14.54,0.13000000000000078
1772139740.719954,692.162793636322,23.1,71.0,14.65,22.95,71.05,14.54,0.11000000000000121
1772139741.2658088,692.708648443222,23.09,70.98,14.63,22.97,71.05,14.55,0.08000000000000007
1772139741.8095946,693.2524342536926,23.11,71.01,14.66,22.98,71.04,14.56,0.09999999999999964
1772139742.354592,693.7974317073822,23.12,70.99,14.66,22.95,71.06,14.54,0.120000000000001
1772139742.8961172,694.3389568328857,23.12,71.02,14.67,22.96,71.05,14.54,0.13000000000000078
1772139743.440586,694.8834257125854,23.11,71.03,14.67,22.97,71.06,14.55,0.11999999999999922
1772139743.9840226,695.4268622398376,23.13,71.03,14.68,22.97,71.08,14.56,0.11999999999999922
1772139744.5284994,695.9713389873505,23.12,71.06,14.68,22.97,71.08,14.56,0.11999999999999922
1772139745.0708077,696.5136473178864,23.13,71.08,14.69,22.96,71.09,14.55,0.1399999999999988
1772139745.6154234,697.0582630634308,23.12,71.08,14.68,22.96,71.1,14.55,0.129999999999999
1772139746.1598134,697.6026530265808,23.11,71.12,14.68,22.95,71.11,14.55,0.129999999999999
1772139746.701283,698.1441226005554,23.12,71.12,14.69,22.98,71.16,14.58,0.10999999999999943
1772139747.2452173,698.6880569458008,23.14,71.11,14.7,22.97,71.12,14.56,0.1399999999999988
1772139747.7895048,699.2323443889618,23.1,71.09,14.67,22.97,71.1,14.56,0.10999999999999943
1772139748.334068,699.7769076824188,23.14,71.13,14.71,22.98,71.1,14.57,0.14000000000000057
1772139748.8757973,700.3186368942261,23.1,71.17,14.68,22.97,71.14,14.57,0.10999999999999943
1772139749.4196746,700.862514257431,23.11,71.22,14.7,22.99,71.19,14.59,0.10999999999999943
1772139749.9637616,701.406601190567,23.11,71.27,14.71,22.98,71.25,14.6,0.11000000000000121
1772139750.5090647,701.951904296875,23.12,71.36,14.74,22.94,71.28,14.58,0.16000000000000014
1772139751.0505445,702.4933841228485,23.14,71.4,14.76,22.98,71.34,14.62,0.14000000000000057
1772139751.5952396,703.0380792617798,23.13,71.44,14.76,22.95,71.34,14.6,0.16000000000000014
1772139752.1390386,703.5818781852722,23.14,71.46,14.77,22.95,71.37,14.6,0.16999999999999993
1772139752.6831799,704.1260194778442,23.1,71.46,14.74,22.96,71.38,14.61,0.13000000000000078
1772139753.2256835,704.6685230731964,23.09,71.49,14.74,22.97,71.39,14.62,0.120000000000001
1772139753.7700005,705.2128400802612,23.08,71.49,14.73,22.97,71.43,14.63,0.09999999999999964
1772139754.31341,705.756249666214,23.1,71.53,14.76,22.97,71.44,14.63,0.129999999999999
1772139754.855859,706.2986986637115,23.12,71.55,14.78,22.95,71.46,14.62,0.16000000000000014
1772139755.3989468,706.8417863845825,23.08,71.59,14.75,22.96,71.49,14.63,0.11999999999999922
1772139755.9442232,707.3870627880096,23.1,71.6,14.77,22.97,71.5,14.64,0.129999999999999
